,0,1,2
user_type,Businesses,Sharers,
accommodates,3.29,2.89,
bathrooms,1.33,1.16,
bedrooms,1.3,1.23,
beds,1.69,1.56,
price,185.66,166.83,
cleaning_fee,69.99,33.52,
guests_included,1.41,1.44,
minimum_nights,4.01,2.67,
number_of_reviews,21.13,17.78,
review_scores_rating,89.67,93.25,
review_scores_accuracy,9.19,9.57,
review_scores_cleanliness,9.17,9.31,
review_scores_checkin,9.44,9.77,
review_scores_communication,9.43,9.78,
review_scores_location,9.27,9.5,
review_scores_value,8.9,9.33,
user_type,Businesses,Sharers,BusinessesSharers
user_count,1351.0,2234.0,3585.0
instant_bookable_f,0.78,0.86,2991.0
instant_bookable_t,0.22,0.14,594.0
cancel_pol_flexible,0.11,0.38,999.0
cancel_pol_moderate,0.2,0.29,919.0
cancel_pol_strict,0.63,0.33,1582.0
cancel_pol_super_strict_30,0.06,0.0,85.0
Prop_type_Apartment,0.74,0.72,2612.0
Prop_type_Bed_&_Breakfast,0.02,0.01,41.0
Prop_type_Boat,0.01,0.0,12.0
Prop_type_Camper/RV,0.0,0.0,1.0
Prop_type_Condominium,0.04,0.08,231.0
Prop_type_Dorm,0.0,0.0,2.0
Prop_type_Entire_Floor,0.0,0.0,4.0
Prop_type_Guesthouse,0.0,0.0,1.0
Prop_type_House,0.16,0.15,562.0
Prop_type_Loft,0.0,0.01,39.0
Prop_type_Other,0.01,0.0,17.0
Prop_type_Townhouse,0.01,0.02,54.0
Prop_type_Villa,0.0,0.0,6.0
Room_type_Entire_home/apt,0.66,0.56,2127.0
Room_type_Private_room,0.33,0.41,1378.0
Room_type_Shared_room,0.01,0.03,80.0
24-Hour_Check-in,0.42,0.31,1247.0
Air_Conditioning,0.85,0.75,2821.0
Breakfast,0.06,0.1,316.0
Buzzer/Wireless_Intercom,0.18,0.27,839.0
Cable_TV,0.64,0.41,1770.0
Carbon_Monoxide_Detector,0.65,0.7,2442.0
Cat(s),0.04,0.06,181.0
Dog(s),0.03,0.08,229.0
Doorman,0.12,0.05,268.0
Dryer,0.86,0.82,2993.0
Elevator_in_Building,0.32,0.19,868.0
Essentials,0.82,0.85,2994.0
Family/Kid_Friendly,0.61,0.47,1888.0
Fire_Extinguisher,0.39,0.47,1582.0
First_Aid_Kit,0.23,0.34,1063.0
Free_Parking_on_Premises,0.18,0.26,831.0
Free_Parking_on_Street,0.0,0.0,9.0
Gym,0.23,0.07,479.0
Hair_Dryer,0.54,0.48,1811.0
Hangers,0.57,0.54,1985.0
Heating,0.96,0.94,3384.0
Hot_Tub,0.04,0.05,167.0
Indoor_Fireplace,0.09,0.12,393.0
Internet,0.99,0.95,3459.0
Iron,0.56,0.48,1828.0
Kitchen,0.92,0.91,3284.0
Laptop_Friendly_Workspace,0.5,0.52,1834.0
Lock_on_Bedroom_Door,0.11,0.14,474.0
Other_pet(s),0.0,0.0,16.0
Paid_Parking_Off_Premises,0.0,0.0,4.0
Pets_Allowed,0.13,0.14,486.0
Pets_live_on_this_property,0.07,0.15,429.0
Pool,0.09,0.02,160.0
Safety_Card,0.11,0.14,458.0
Shampoo,0.68,0.67,2421.0
Smoke_Detector,0.74,0.86,2911.0
Smoking_Allowed,0.01,0.04,95.0
Suitable_for_Events,0.03,0.04,138.0
TV,0.81,0.73,2725.0
Washer,0.7,0.68,2475.0
Washer_/_Dryer,0.0,0.0,2.0
Wheelchair_Accessible,0.03,0.05,148.0
Wireless_Internet,0.97,0.94,3421.0
